timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
4921,167,296,-9791,4,0,-7,03/03/2022 11:17:11
4922,172,306,-9820,2,0,-7,03/03/2022 11:17:11
4923,181,272,-9753,6,-2,-7,03/03/2022 11:17:11
4924,172,296,-9815,5,-1,-7,03/03/2022 11:17:11
4925,153,296,-9777,5,-1,-6,03/03/2022 11:17:11
4926,167,277,-9777,2,-1,-7,03/03/2022 11:17:11
4927,167,282,-9781,4,-2,-7,03/03/2022 11:17:11
4928,181,277,-9810,5,-1,-6,03/03/2022 11:17:11
4929,200,296,-9767,6,-1,-7,03/03/2022 11:17:11
4930,162,287,-9829,5,-2,-7,03/03/2022 11:17:11
4931,177,287,-9853,5,-1,-6,03/03/2022 11:17:11
4932,191,311,-9791,5,-1,-7,03/03/2022 11:17:11
4933,162,287,-9834,5,-2,-7,03/03/2022 11:17:11
4934,172,291,-9753,5,0,-7,03/03/2022 11:17:11
4935,157,311,-9786,4,0,-7,03/03/2022 11:17:11
4936,177,282,-9801,6,-1,-7,03/03/2022 11:17:11
4937,167,267,-9781,5,-2,-6,03/03/2022 11:17:11
4938,153,301,-9829,4,-2,-7,03/03/2022 11:17:11
4939,172,287,-9820,5,-2,-7,03/03/2022 11:17:11
4940,186,272,-9791,4,0,-7,03/03/2022 11:17:12
4941,157,287,-9824,6,-2,-7,03/03/2022 11:17:12
4942,191,296,-9824,3,-1,-6,03/03/2022 11:17:12
4943,162,296,-9786,5,-1,-7,03/03/2022 11:17:12
4944,153,296,-9820,3,-1,-7,03/03/2022 11:17:12
4945,148,277,-9801,4,-1,-6,03/03/2022 11:17:12
4946,181,291,-9815,3,-1,-7,03/03/2022 11:17:12
4947,181,287,-9796,4,-1,-6,03/03/2022 11:17:12
4948,172,306,-9791,6,-1,-6,03/03/2022 11:17:12
4949,177,296,-9834,4,-1,-7,03/03/2022 11:17:12
4950,138,291,-9820,6,-1,-7,03/03/2022 11:17:12
4951,181,287,-9824,6,-1,-7,03/03/2022 11:17:12
4952,157,272,-9824,5,-2,-6,03/03/2022 11:17:12
4953,172,291,-9777,4,0,-7,03/03/2022 11:17:12
4954,172,306,-9777,6,-1,-7,03/03/2022 11:17:12
4955,167,287,-9844,5,-1,-7,03/03/2022 11:17:12
4956,186,282,-9786,6,-2,-7,03/03/2022 11:17:12
4957,177,306,-9767,5,-1,-6,03/03/2022 11:17:12
4958,162,287,-9815,4,-1,-6,03/03/2022 11:17:12
4959,148,282,-9796,4,0,-7,03/03/2022 11:17:12
4960,153,296,-9863,3,-1,-7,03/03/2022 11:17:13
4961,181,287,-9796,5,-2,-7,03/03/2022 11:17:13
4962,172,320,-9810,5,-1,-7,03/03/2022 11:17:13
4963,157,277,-9829,6,-2,-7,03/03/2022 11:17:13
4964,181,267,-9762,3,-2,-7,03/03/2022 11:17:13
4965,167,296,-9815,5,-1,-7,03/03/2022 11:17:13
4966,186,291,-9791,1,0,-7,03/03/2022 11:17:13
4967,148,291,-9772,3,0,-6,03/03/2022 11:17:13
4968,172,301,-9796,4,-1,-7,03/03/2022 11:17:13
4969,138,311,-9810,1,-1,-7,03/03/2022 11:17:13
4970,157,277,-9801,6,-2,-6,03/03/2022 11:17:13
4971,177,287,-9829,4,-1,-6,03/03/2022 11:17:13
4972,153,296,-9834,3,-1,-6,03/03/2022 11:17:13
4973,172,287,-9805,4,-1,-7,03/03/2022 11:17:13
4974,172,291,-9801,5,-1,-6,03/03/2022 11:17:13
4975,177,258,-9786,2,-1,-7,03/03/2022 11:17:13
4976,162,291,-9777,6,-1,-7,03/03/2022 11:17:13
4977,167,287,-9824,5,-2,-6,03/03/2022 11:17:13
4978,162,282,-9796,3,-1,-7,03/03/2022 11:17:13
4979,162,296,-9810,7,-2,-7,03/03/2022 11:17:13
4980,148,282,-9810,5,-2,-6,03/03/2022 11:17:13
4981,162,296,-9810,3,-1,-7,03/03/2022 11:17:14
4982,157,296,-9839,4,-2,-7,03/03/2022 11:17:14
4983,186,296,-9839,5,-2,-7,03/03/2022 11:17:14
4984,157,296,-9772,4,0,-7,03/03/2022 11:17:14
4985,143,282,-9820,5,-1,-7,03/03/2022 11:17:14
4986,181,277,-9796,5,-1,-6,03/03/2022 11:17:14
4987,157,277,-9777,7,0,-7,03/03/2022 11:17:14
4988,143,282,-9853,5,-2,-6,03/03/2022 11:17:14
4989,153,277,-9805,5,0,-7,03/03/2022 11:17:14
4990,153,306,-9824,4,-2,-7,03/03/2022 11:17:14
4991,181,287,-9853,6,-2,-7,03/03/2022 11:17:14
4992,172,267,-9786,2,0,-7,03/03/2022 11:17:14
4993,177,282,-9810,6,-1,-7,03/03/2022 11:17:14
4994,167,272,-9777,2,0,-6,03/03/2022 11:17:14
4995,157,301,-9786,4,0,-7,03/03/2022 11:17:14
4996,172,301,-9805,4,0,-7,03/03/2022 11:17:14
4997,172,291,-9805,4,0,-6,03/03/2022 11:17:14
4998,181,287,-9738,6,0,-6,03/03/2022 11:17:14
4999,177,291,-9848,2,-3,-6,03/03/2022 11:17:14
5000,181,311,-9781,3,0,-7,03/03/2022 11:17:14
5001,167,315,-9829,5,-1,-6,03/03/2022 11:17:15
5002,172,320,-9829,5,-2,-6,03/03/2022 11:17:15
5003,167,306,-9791,6,-1,-7,03/03/2022 11:17:15
5004,167,291,-9829,7,-1,-7,03/03/2022 11:17:15
