timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
2253,167,277,-9753,6,-2,-7,03/03/2022 11:11:01
2254,177,287,-9805,4,-2,-7,03/03/2022 11:11:01
2255,177,272,-9767,4,-1,-6,03/03/2022 11:11:01
2256,177,282,-9791,4,-2,-7,03/03/2022 11:11:01
2257,157,315,-9781,1,-1,-7,03/03/2022 11:11:01
2258,177,282,-9753,4,0,-7,03/03/2022 11:11:01
2259,167,306,-9781,4,0,-7,03/03/2022 11:11:01
2260,167,296,-9719,6,-1,-7,03/03/2022 11:11:01
2261,186,291,-9748,4,0,-7,03/03/2022 11:11:01
2262,181,277,-9839,5,-2,-7,03/03/2022 11:11:01
2263,133,277,-9777,6,-1,-7,03/03/2022 11:11:01
2264,172,325,-9824,7,-2,-7,03/03/2022 11:11:01
2265,177,301,-9839,3,0,-7,03/03/2022 11:11:01
2266,153,277,-9796,3,-1,-7,03/03/2022 11:11:01
2267,191,287,-9815,3,-1,-7,03/03/2022 11:11:01
2268,162,296,-9810,3,0,-7,03/03/2022 11:11:01
2269,162,291,-9762,7,-1,-7,03/03/2022 11:11:01
2270,172,272,-9810,5,0,-7,03/03/2022 11:11:02
2271,181,291,-9777,5,-2,-7,03/03/2022 11:11:02
2272,205,291,-9734,5,0,-7,03/03/2022 11:11:02
2273,157,277,-9824,6,-3,-7,03/03/2022 11:11:02
2274,196,301,-9753,4,0,-7,03/03/2022 11:11:02
2275,167,301,-9786,4,-1,-7,03/03/2022 11:11:02
2276,157,291,-9805,5,-2,-7,03/03/2022 11:11:02
2277,167,291,-9786,2,-1,-7,03/03/2022 11:11:02
2278,167,306,-9786,3,0,-7,03/03/2022 11:11:02
2279,167,296,-9805,5,-2,-6,03/03/2022 11:11:02
2280,181,282,-9748,4,0,-7,03/03/2022 11:11:02
2281,157,301,-9781,5,-1,-7,03/03/2022 11:11:02
2282,162,272,-9777,1,-1,-7,03/03/2022 11:11:02
2283,177,301,-9753,2,0,-7,03/03/2022 11:11:02
2284,167,296,-9791,4,-1,-7,03/03/2022 11:11:02
2285,153,311,-9786,3,-1,-7,03/03/2022 11:11:02
2286,167,315,-9805,5,-1,-7,03/03/2022 11:11:02
2287,167,296,-9810,6,-3,-7,03/03/2022 11:11:02
2288,200,287,-9757,6,-1,-7,03/03/2022 11:11:02
2289,148,291,-9805,3,-1,-7,03/03/2022 11:11:03
2290,186,277,-9743,4,-1,-7,03/03/2022 11:11:03
2291,172,296,-9762,3,0,-6,03/03/2022 11:11:03
2292,167,291,-9781,2,0,-7,03/03/2022 11:11:03
2293,148,320,-9757,6,-2,-7,03/03/2022 11:11:03
2294,181,301,-9762,4,-1,-7,03/03/2022 11:11:03
2295,167,301,-9801,3,0,-6,03/03/2022 11:11:03
2296,172,287,-9796,4,-1,-7,03/03/2022 11:11:03
2297,181,291,-9786,4,0,-7,03/03/2022 11:11:03
2298,157,311,-9820,2,-1,-7,03/03/2022 11:11:03
2299,162,282,-9734,5,-1,-7,03/03/2022 11:11:03
2300,181,287,-9786,8,-2,-7,03/03/2022 11:11:03
2301,153,311,-9743,5,-1,-7,03/03/2022 11:11:03
2302,167,311,-9762,6,-1,-7,03/03/2022 11:11:03
2303,172,311,-9820,3,-1,-7,03/03/2022 11:11:03
2304,177,306,-9805,3,-1,-6,03/03/2022 11:11:03
2305,186,320,-9839,4,-2,-7,03/03/2022 11:11:03
2306,157,282,-9820,3,-1,-7,03/03/2022 11:11:03
2307,162,296,-9815,4,-2,-7,03/03/2022 11:11:03
2308,181,282,-9772,6,-2,-7,03/03/2022 11:11:03
2309,143,287,-9810,3,-1,-7,03/03/2022 11:11:04
2310,181,277,-9743,3,0,-7,03/03/2022 11:11:04
2311,172,296,-9772,5,-1,-7,03/03/2022 11:11:04
2312,177,287,-9772,5,-2,-6,03/03/2022 11:11:04
2313,162,306,-9738,7,-1,-6,03/03/2022 11:11:04
2314,153,306,-9815,5,-1,-7,03/03/2022 11:11:04
2315,153,287,-9777,6,-2,-6,03/03/2022 11:11:04
2316,191,282,-9810,3,-2,-7,03/03/2022 11:11:04
2317,167,277,-9810,6,-2,-6,03/03/2022 11:11:04
2318,177,272,-9762,3,0,-7,03/03/2022 11:11:04
2319,157,306,-9791,5,-1,-7,03/03/2022 11:11:04
2320,157,277,-9829,6,-2,-7,03/03/2022 11:11:04
2321,162,287,-9772,5,-1,-7,03/03/2022 11:11:04
2322,172,277,-9748,6,-1,-7,03/03/2022 11:11:04
2323,167,296,-9796,3,-2,-7,03/03/2022 11:11:04
2324,167,267,-9719,3,0,-7,03/03/2022 11:11:04
2325,143,277,-9839,5,-3,-7,03/03/2022 11:11:04
2326,167,301,-9810,6,-3,-7,03/03/2022 11:11:04
2327,162,291,-9753,6,-1,-7,03/03/2022 11:11:04
2328,162,311,-9777,4,-2,-7,03/03/2022 11:11:04
2329,133,301,-9777,3,0,-7,03/03/2022 11:11:04
2330,181,291,-9767,2,-1,-7,03/03/2022 11:11:05
2331,162,282,-9786,5,-1,-6,03/03/2022 11:11:05
2332,172,282,-9757,7,-2,-7,03/03/2022 11:11:05
2333,205,291,-9777,4,0,-7,03/03/2022 11:11:05
2334,153,291,-9772,5,-1,-7,03/03/2022 11:11:05
2335,186,301,-9757,6,-1,-7,03/03/2022 11:11:05
2336,172,296,-9815,4,-1,-7,03/03/2022 11:11:05
2337,172,291,-9791,4,-1,-6,03/03/2022 11:11:05
2338,181,277,-9757,6,0,-7,03/03/2022 11:11:05
2339,162,301,-9844,4,-2,-7,03/03/2022 11:11:05
2340,177,311,-9738,5,-1,-7,03/03/2022 11:11:05
2341,191,301,-9767,5,-1,-7,03/03/2022 11:11:05
