timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3336,172,282,-9781,4,-2,-6,03/03/2022 11:13:50
3337,172,306,-9839,4,-1,-7,03/03/2022 11:13:50
3338,167,301,-9815,4,-3,-7,03/03/2022 11:13:50
3339,181,282,-9791,5,0,-6,03/03/2022 11:13:50
3340,177,301,-9848,5,-2,-7,03/03/2022 11:13:50
3341,157,282,-9757,4,-1,-7,03/03/2022 11:13:50
3342,181,301,-9801,6,-1,-6,03/03/2022 11:13:50
3343,153,272,-9815,7,-2,-7,03/03/2022 11:13:50
3344,186,282,-9748,5,-1,-7,03/03/2022 11:13:50
3345,162,291,-9791,3,-1,-7,03/03/2022 11:13:50
3346,162,272,-9839,6,-2,-7,03/03/2022 11:13:50
3347,196,282,-9781,6,-2,-7,03/03/2022 11:13:50
3348,153,296,-9815,7,-2,-7,03/03/2022 11:13:50
3349,157,291,-9834,2,-1,-7,03/03/2022 11:13:51
3350,181,282,-9781,6,-2,-7,03/03/2022 11:13:51
3351,172,291,-9824,4,-2,-7,03/03/2022 11:13:51
3352,153,296,-9781,4,-1,-7,03/03/2022 11:13:51
3353,177,291,-9762,3,0,-7,03/03/2022 11:13:51
3354,157,277,-9801,7,-3,-6,03/03/2022 11:13:51
3355,172,311,-9762,5,-1,-7,03/03/2022 11:13:51
3356,162,277,-9777,5,-2,-6,03/03/2022 11:13:51
3357,167,296,-9839,5,-2,-7,03/03/2022 11:13:51
3358,162,306,-9772,6,-1,-7,03/03/2022 11:13:51
3359,177,306,-9801,4,-1,-7,03/03/2022 11:13:51
3360,162,301,-9848,4,-2,-7,03/03/2022 11:13:51
3361,167,277,-9786,3,-2,-7,03/03/2022 11:13:51
3362,200,272,-9791,6,-1,-7,03/03/2022 11:13:51
3363,177,282,-9781,6,0,-6,03/03/2022 11:13:51
3364,172,301,-9786,4,0,-7,03/03/2022 11:13:51
3365,157,296,-9824,8,-2,-6,03/03/2022 11:13:51
3366,162,296,-9777,6,-1,-7,03/03/2022 11:13:51
3367,181,287,-9834,4,-2,-7,03/03/2022 11:13:51
3368,148,287,-9848,3,-2,-7,03/03/2022 11:13:51
3369,157,296,-9805,5,-1,-7,03/03/2022 11:13:52
3370,172,282,-9815,3,-1,-7,03/03/2022 11:13:52
3371,172,277,-9820,5,-2,-7,03/03/2022 11:13:52
3372,177,287,-9767,5,-2,-7,03/03/2022 11:13:52
3373,172,306,-9820,3,0,-7,03/03/2022 11:13:52
3374,143,296,-9762,3,0,-7,03/03/2022 11:13:52
3375,172,301,-9781,6,-1,-6,03/03/2022 11:13:52
3376,119,291,-9820,5,-1,-7,03/03/2022 11:13:52
3377,162,282,-9796,3,-1,-7,03/03/2022 11:13:52
3378,157,277,-9805,7,-2,-7,03/03/2022 11:13:52
3379,172,306,-9824,3,-1,-7,03/03/2022 11:13:52
3380,177,253,-9772,5,-1,-7,03/03/2022 11:13:52
3381,162,306,-9844,3,0,-6,03/03/2022 11:13:52
3382,172,282,-9781,2,0,-7,03/03/2022 11:13:52
3383,191,263,-9757,4,-1,-7,03/03/2022 11:13:52
3384,200,315,-9820,5,-2,-7,03/03/2022 11:13:52
3385,172,311,-9801,3,-1,-7,03/03/2022 11:13:52
3386,167,272,-9748,3,0,-6,03/03/2022 11:13:52
3387,167,287,-9824,4,-1,-7,03/03/2022 11:13:52
3388,138,282,-9820,5,-2,-7,03/03/2022 11:13:52
3389,167,301,-9820,6,-1,-7,03/03/2022 11:13:53
3390,167,272,-9824,4,-2,-6,03/03/2022 11:13:53
3391,177,287,-9786,5,-1,-6,03/03/2022 11:13:53
3392,167,311,-9810,3,0,-7,03/03/2022 11:13:53
3393,177,272,-9767,3,0,-6,03/03/2022 11:13:53
3394,172,267,-9777,5,0,-7,03/03/2022 11:13:53
3395,167,282,-9815,6,-2,-6,03/03/2022 11:13:53
3396,162,282,-9824,5,-2,-6,03/03/2022 11:13:53
3397,186,263,-9777,6,-3,-7,03/03/2022 11:13:53
3398,148,311,-9868,4,-3,-6,03/03/2022 11:13:53
3399,153,301,-9810,3,-1,-7,03/03/2022 11:13:53
3400,157,315,-9801,6,0,-7,03/03/2022 11:13:53
3401,167,291,-9853,4,-2,-7,03/03/2022 11:13:53
3402,167,301,-9791,4,0,-6,03/03/2022 11:13:53
3403,181,267,-9762,5,-1,-7,03/03/2022 11:13:53
3404,196,267,-9786,6,-2,-6,03/03/2022 11:13:53
3405,186,301,-9767,5,-2,-7,03/03/2022 11:13:53
3406,138,267,-9810,5,-1,-7,03/03/2022 11:13:53
3407,177,296,-9805,5,-2,-6,03/03/2022 11:13:53
3408,172,301,-9805,5,-2,-7,03/03/2022 11:13:53
3409,153,291,-9839,5,-2,-7,03/03/2022 11:13:54
3410,148,296,-9829,3,0,-7,03/03/2022 11:13:54
3411,162,325,-9805,4,-1,-7,03/03/2022 11:13:54
3412,200,301,-9839,6,-1,-6,03/03/2022 11:13:54
3413,153,306,-9791,2,0,-7,03/03/2022 11:13:54
3414,167,315,-9786,3,0,-7,03/03/2022 11:13:54
3415,148,263,-9781,4,0,-7,03/03/2022 11:13:54
3416,172,287,-9767,3,0,-7,03/03/2022 11:13:54
3417,167,301,-9834,6,-2,-7,03/03/2022 11:13:54
3418,177,301,-9810,4,-2,-7,03/03/2022 11:13:54
3419,196,296,-9815,6,-1,-7,03/03/2022 11:13:54
3420,172,291,-9844,2,0,-7,03/03/2022 11:13:54
3421,167,282,-9757,5,-1,-7,03/03/2022 11:13:54
3422,200,315,-9786,6,-1,-7,03/03/2022 11:13:54
3423,200,277,-9824,6,-2,-6,03/03/2022 11:13:54
3424,138,301,-9777,5,-1,-6,03/03/2022 11:13:54
3425,162,282,-9772,3,0,-6,03/03/2022 11:13:54
3426,162,291,-9839,5,-1,-7,03/03/2022 11:13:54
3427,162,282,-9762,2,0,-7,03/03/2022 11:13:54
3428,153,267,-9824,4,-2,-7,03/03/2022 11:13:54
3429,162,287,-9844,6,-2,-7,03/03/2022 11:13:55
3430,177,296,-9796,2,0,-7,03/03/2022 11:13:55
3431,162,291,-9820,3,-1,-7,03/03/2022 11:13:55
3432,186,287,-9772,6,-2,-7,03/03/2022 11:13:55
3433,162,287,-9772,7,-1,-7,03/03/2022 11:13:55
3434,162,315,-9777,4,-1,-6,03/03/2022 11:13:55
3435,167,296,-9796,5,-1,-7,03/03/2022 11:13:55
3436,162,277,-9781,6,-1,-6,03/03/2022 11:13:55
3437,172,301,-9815,4,-2,-6,03/03/2022 11:13:55
3438,153,291,-9791,3,0,-7,03/03/2022 11:13:55
3439,181,287,-9834,7,-1,-7,03/03/2022 11:13:55
3440,172,296,-9820,3,0,-6,03/03/2022 11:13:55
3441,186,315,-9801,6,-1,-6,03/03/2022 11:13:55
3442,177,287,-9796,5,-1,-7,03/03/2022 11:13:55
3443,162,287,-9738,4,-1,-6,03/03/2022 11:13:55
3444,191,282,-9772,3,-1,-7,03/03/2022 11:13:55
3445,172,282,-9791,5,-3,-6,03/03/2022 11:13:55
3446,162,287,-9777,6,-1,-6,03/03/2022 11:13:55
3447,162,320,-9853,3,-1,-7,03/03/2022 11:13:55
3448,172,301,-9829,3,-1,-6,03/03/2022 11:13:55
3449,157,311,-9772,6,0,-6,03/03/2022 11:13:56
3450,162,301,-9824,7,-2,-7,03/03/2022 11:13:56
3451,181,291,-9839,1,-1,-6,03/03/2022 11:13:56
