timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
5590,-770,315,9628,52,197,-1093,03/03/2022 11:22:14
5591,-646,258,9954,150,87,-1057,03/03/2022 11:22:14
5592,47,1028,10207,153,-70,-939,03/03/2022 11:22:14
5593,646,1445,10217,193,-93,-793,03/03/2022 11:22:14
5594,1555,2670,10499,126,-118,-668,03/03/2022 11:22:14
5595,2344,2828,10887,56,-216,-367,03/03/2022 11:22:14
5596,3129,3072,10523,-15,-239,-44,03/03/2022 11:22:14
5597,3000,2402,9949,-73,-234,341,03/03/2022 11:22:14
5598,2349,1794,9580,-34,-203,579,03/03/2022 11:22:14
5599,1143,722,9781,18,-68,744,03/03/2022 11:22:14
5600,1421,497,9681,-12,-66,667,03/03/2022 11:22:14
5601,1402,459,9614,-101,120,619,03/03/2022 11:22:14
5602,990,425,10116,18,12,718,03/03/2022 11:22:14
5603,1115,550,9662,-34,23,839,03/03/2022 11:22:14
5604,722,325,9891,51,59,928,03/03/2022 11:22:14
5605,315,124,9724,-24,31,984,03/03/2022 11:22:15
5606,-133,-110,9623,-12,32,1016,03/03/2022 11:22:15
5607,-722,-689,10030,27,-27,1052,03/03/2022 11:22:15
5608,-1119,-1186,10001,-3,-61,930,03/03/2022 11:22:15
5609,-1354,-1674,9939,25,-72,806,03/03/2022 11:22:15
5610,-1689,-2110,10054,59,-73,567,03/03/2022 11:22:15
5611,-1813,-2081,9834,36,-156,312,03/03/2022 11:22:15
5612,-1808,-2100,9738,51,-136,-115,03/03/2022 11:22:15
5613,-1004,-1923,9513,19,-131,-409,03/03/2022 11:22:15
5614,33,-1129,9274,35,-47,-649,03/03/2022 11:22:15
5615,-373,-847,9805,100,1,-657,03/03/2022 11:22:15
5616,-14,-674,10246,125,-48,-795,03/03/2022 11:22:15
5617,397,-95,10078,-7,19,-993,03/03/2022 11:22:15
5618,382,717,9791,61,-21,-1040,03/03/2022 11:22:15
5619,1201,1024,10054,29,-49,-1075,03/03/2022 11:22:15
5620,1770,1741,9997,4,-153,-909,03/03/2022 11:22:15
5621,2469,2254,9714,49,-145,-802,03/03/2022 11:22:15
5622,3029,2526,9973,3,-97,-602,03/03/2022 11:22:15
5623,2603,1588,9911,0,-142,-276,03/03/2022 11:22:15
5624,2641,1205,9556,-45,-91,-281,03/03/2022 11:22:15
5625,2550,894,9341,-107,14,-379,03/03/2022 11:22:16
5626,2947,2048,9212,-207,210,-368,03/03/2022 11:22:16
5627,3053,2344,9973,-24,40,109,03/03/2022 11:22:16
5628,3101,2498,9226,-35,-113,452,03/03/2022 11:22:16
5629,3306,2057,9226,43,-138,641,03/03/2022 11:22:16
5630,2282,1660,9753,184,75,969,03/03/2022 11:22:16
5631,1741,1229,10183,162,17,1030,03/03/2022 11:22:16
5632,751,311,10107,122,76,1081,03/03/2022 11:22:16
5633,531,291,10102,62,-8,973,03/03/2022 11:22:16
5634,311,-282,9944,37,-22,934,03/03/2022 11:22:16
5635,-43,-315,9939,130,48,946,03/03/2022 11:22:16
5636,-545,-1009,10528,101,6,880,03/03/2022 11:22:16
5637,-1138,-1478,10236,-27,6,736,03/03/2022 11:22:16
5638,-1703,-2019,10600,42,-53,573,03/03/2022 11:22:16
5639,-1923,-2220,10518,-29,-169,88,03/03/2022 11:22:16
5640,-631,-2105,9528,-103,-184,-409,03/03/2022 11:22:16
5641,421,-1253,9322,-108,-39,-733,03/03/2022 11:22:16
5642,842,-454,9848,-62,20,-875,03/03/2022 11:22:16
5643,1320,-119,10064,-114,4,-903,03/03/2022 11:22:16
5644,1138,406,9188,-98,181,-1017,03/03/2022 11:22:16
5645,1239,344,10112,-74,206,-1051,03/03/2022 11:22:17
5646,1143,655,9518,-22,67,-1058,03/03/2022 11:22:17
5647,775,1043,9332,5,95,-1056,03/03/2022 11:22:17
5648,1488,2498,8982,42,-12,-1118,03/03/2022 11:22:17
5649,3048,2723,9336,202,-35,-876,03/03/2022 11:22:17
5650,3565,3737,10073,98,114,-581,03/03/2022 11:22:17
5651,3287,3316,10475,20,-3,-324,03/03/2022 11:22:17
5652,3814,3302,9513,-108,-16,43,03/03/2022 11:22:17
5653,3139,2632,9466,6,2,320,03/03/2022 11:22:17
5654,2263,2115,9719,50,46,488,03/03/2022 11:22:17
5655,1158,1316,9844,-27,8,526,03/03/2022 11:22:17
5656,847,890,9217,-36,76,510,03/03/2022 11:22:17
5657,894,751,9542,-31,76,407,03/03/2022 11:22:17
5658,1531,1316,9509,-46,17,445,03/03/2022 11:22:17
5659,2167,1234,8762,49,53,566,03/03/2022 11:22:17
5660,2335,1373,9269,42,192,561,03/03/2022 11:22:17
5661,2292,2048,9724,57,167,779,03/03/2022 11:22:17
5662,1397,1201,10246,199,48,1053,03/03/2022 11:22:17
5663,823,1330,10561,118,78,1124,03/03/2022 11:22:17
5664,-52,756,10724,169,-5,1208,03/03/2022 11:22:17
5665,-1392,-167,11078,69,-43,1118,03/03/2022 11:22:18
5666,-1713,-1105,10801,23,-175,765,03/03/2022 11:22:18
5667,-1421,-861,10384,-37,-215,538,03/03/2022 11:22:18
5668,-1416,-1239,10341,-33,-229,106,03/03/2022 11:22:18
5669,-847,-1440,9729,-157,-221,-183,03/03/2022 11:22:18
5670,43,-1411,9040,-150,-91,-586,03/03/2022 11:22:18
5671,502,-488,9451,-86,41,-900,03/03/2022 11:22:18
5672,315,722,9662,-98,108,-1050,03/03/2022 11:22:18
5673,502,1808,10447,-97,100,-1254,03/03/2022 11:22:18
5674,1210,2000,10207,-174,1,-1151,03/03/2022 11:22:18
5675,885,1411,10112,-95,-58,-1161,03/03/2022 11:22:18
5676,971,1703,9552,-132,-160,-1235,03/03/2022 11:22:18
5677,1761,2100,9470,-165,-67,-1367,03/03/2022 11:22:18
5678,1794,1765,9600,-31,-56,-1237,03/03/2022 11:22:18
5679,2579,2957,9437,-200,15,-1205,03/03/2022 11:22:18
5680,3172,2397,9738,-25,-156,-827,03/03/2022 11:22:18
5681,3933,3297,9231,0,-134,-632,03/03/2022 11:22:18
5682,4761,3397,9542,-79,-85,-162,03/03/2022 11:22:18
5683,4627,3163,8992,-8,-129,150,03/03/2022 11:22:18
5684,3761,2258,8279,12,0,551,03/03/2022 11:22:19
5685,2761,1938,8839,142,65,668,03/03/2022 11:22:19
5686,2584,2364,8575,111,140,703,03/03/2022 11:22:19
5687,1852,1473,9690,254,205,859,03/03/2022 11:22:19
5688,1799,2096,9461,146,168,772,03/03/2022 11:22:19
5689,2139,1852,9537,156,155,910,03/03/2022 11:22:19
5690,1306,1842,9997,317,218,1060,03/03/2022 11:22:19
5691,937,1316,10198,187,155,1043,03/03/2022 11:22:19
5692,258,1277,10250,269,80,1177,03/03/2022 11:22:19
5693,-129,1033,10226,224,148,1045,03/03/2022 11:22:19
5694,-81,976,10365,106,147,911,03/03/2022 11:22:19
5695,-1009,401,10499,136,119,837,03/03/2022 11:22:19
5696,-1239,-9,10518,89,103,632,03/03/2022 11:22:19
5697,-1282,-392,10384,44,30,340,03/03/2022 11:22:19
5698,-1617,-330,10485,19,62,-20,03/03/2022 11:22:19
5699,-1205,-315,10102,-5,-88,-247,03/03/2022 11:22:19
5700,-904,296,9365,-15,-49,-502,03/03/2022 11:22:19
5701,-1205,751,10518,68,-47,-738,03/03/2022 11:22:19
5702,-1354,1287,9298,-95,-105,-922,03/03/2022 11:22:19
5703,-119,2182,10169,95,65,-1328,03/03/2022 11:22:19
5704,1229,3775,10375,-285,199,-1424,03/03/2022 11:22:19
5705,550,3474,10949,-101,71,-1161,03/03/2022 11:22:20
5706,-478,2723,9992,-161,-167,-984,03/03/2022 11:22:20
5707,186,2086,9451,-106,-213,-1071,03/03/2022 11:22:20
5708,674,2828,9494,-52,-57,-1070,03/03/2022 11:22:20
5709,1689,3230,9757,-51,-244,-847,03/03/2022 11:22:20
5710,2402,3512,9810,-107,-201,-521,03/03/2022 11:22:20
5711,3187,3302,9600,-145,-286,-223,03/03/2022 11:22:20
5712,3455,3043,8791,-101,-170,188,03/03/2022 11:22:20
5713,3043,2632,8939,21,-114,432,03/03/2022 11:22:20
5714,2713,2775,9451,76,-139,617,03/03/2022 11:22:20
5715,2962,1852,8595,172,-382,994,03/03/2022 11:22:20
5716,2230,832,8628,122,-30,940,03/03/2022 11:22:20
5717,2560,1823,9982,214,1,818,03/03/2022 11:22:20
5718,2258,2105,9485,196,59,1010,03/03/2022 11:22:20
5719,1861,1584,9681,129,160,947,03/03/2022 11:22:20
5720,2048,1880,9485,62,149,1054,03/03/2022 11:22:20
5721,1014,1009,9868,150,215,1150,03/03/2022 11:22:20
5722,291,430,10179,-25,319,969,03/03/2022 11:22:20
5723,-382,23,10758,27,210,907,03/03/2022 11:22:20
5724,119,502,10365,-81,160,848,03/03/2022 11:22:20
5725,-1339,-1325,10600,-54,0,808,03/03/2022 11:22:21
5726,-2196,-1909,9958,-22,-24,346,03/03/2022 11:22:21
5727,-2254,-1694,9963,-75,-8,-105,03/03/2022 11:22:21
5728,-2091,-1708,9997,-57,-30,-349,03/03/2022 11:22:21
5729,-157,-1062,9231,-92,-27,-874,03/03/2022 11:22:21
5730,378,-220,9657,-126,132,-1001,03/03/2022 11:22:21
5731,-110,200,10624,118,79,-1070,03/03/2022 11:22:21
5732,234,698,9896,-168,315,-1301,03/03/2022 11:22:21
5733,-698,564,10796,52,146,-1196,03/03/2022 11:22:21
5734,-751,622,10179,-52,-1,-1255,03/03/2022 11:22:21
5735,-497,330,9174,-55,53,-1548,03/03/2022 11:22:21
5736,162,1540,9231,-54,211,-1686,03/03/2022 11:22:21
5737,535,1899,9647,-40,123,-1492,03/03/2022 11:22:21
5738,330,2282,10092,240,-31,-1009,03/03/2022 11:22:21
5739,1440,2847,9528,100,-154,-878,03/03/2022 11:22:21
5740,1732,2947,10226,128,-75,-747,03/03/2022 11:22:21
5741,2699,4450,9906,-4,-225,-413,03/03/2022 11:22:21
5742,3728,4101,9236,-80,-122,-15,03/03/2022 11:22:21
5743,3292,3756,9729,-69,-18,302,03/03/2022 11:22:21
5744,1660,2871,9801,-90,-47,761,03/03/2022 11:22:21
5745,1684,2675,9547,-63,-138,912,03/03/2022 11:22:22
5746,1713,2249,9006,-49,36,999,03/03/2022 11:22:22
5747,1186,2325,10040,-116,95,1108,03/03/2022 11:22:22
5748,751,1689,9107,-68,36,1435,03/03/2022 11:22:22
5749,-411,669,9523,38,-63,1487,03/03/2022 11:22:22
5750,445,301,9217,103,26,1431,03/03/2022 11:22:22
5751,-1986,-684,11581,72,75,1439,03/03/2022 11:22:22
5752,-2464,-1861,9820,125,-228,1350,03/03/2022 11:22:22
5753,-2498,-2268,10547,231,-129,1015,03/03/2022 11:22:22
5754,-2234,-1507,10523,40,-96,673,03/03/2022 11:22:22
5755,-2794,-1531,10313,44,-220,645,03/03/2022 11:22:22
5756,-3684,-1871,10552,114,-170,156,03/03/2022 11:22:22
5757,-2857,-2225,10179,-174,-308,-254,03/03/2022 11:22:22
5758,-1349,-2249,8930,75,-191,-819,03/03/2022 11:22:22
5759,-885,-1033,9269,27,-1,-1284,03/03/2022 11:22:22
5760,1651,660,9140,18,-40,-1564,03/03/2022 11:22:22
5761,1071,1406,8441,20,310,-1528,03/03/2022 11:22:22
5762,-411,2689,10490,194,522,-1637,03/03/2022 11:22:22
5763,-196,3627,11054,35,90,-1501,03/03/2022 11:22:22
5764,-267,4024,10384,33,-99,-1316,03/03/2022 11:22:22
5765,229,3737,10322,143,-31,-1232,03/03/2022 11:22:23
5766,966,4086,10719,10,-51,-1158,03/03/2022 11:22:23
5767,2301,3881,10332,-35,-276,-638,03/03/2022 11:22:23
5768,2924,3804,9662,-67,-189,-454,03/03/2022 11:22:23
5769,3436,4125,9681,-308,-13,-157,03/03/2022 11:22:23
5770,2852,3823,9470,-174,-17,350,03/03/2022 11:22:23
5771,2134,2995,9753,-135,-31,664,03/03/2022 11:22:23
5772,1957,2541,9667,-89,-137,1028,03/03/2022 11:22:23
5773,1282,1914,9193,-51,-58,1251,03/03/2022 11:22:23
5774,799,1148,9078,-25,-66,1364,03/03/2022 11:22:23
5775,177,899,9265,137,47,1397,03/03/2022 11:22:23
5776,-14,425,9547,123,11,1365,03/03/2022 11:22:23
5777,-133,866,10523,146,-78,1342,03/03/2022 11:22:23
5778,-57,287,9676,33,-151,1364,03/03/2022 11:22:23
5779,-478,-387,9915,62,-25,1247,03/03/2022 11:22:23
5780,-708,-674,10308,198,-28,1028,03/03/2022 11:22:23
5781,-904,-928,10188,93,-46,902,03/03/2022 11:22:23
5782,-928,-1158,10102,104,3,629,03/03/2022 11:22:23
5783,-1512,-1081,10581,46,-20,372,03/03/2022 11:22:23
5784,-2024,-1330,10442,-43,-111,66,03/03/2022 11:22:23
5785,-890,-1684,10102,-7,-268,-246,03/03/2022 11:22:23
5786,162,-789,9274,-87,-47,-644,03/03/2022 11:22:24
5787,-224,-129,10150,24,6,-855,03/03/2022 11:22:24
5788,172,330,10025,-79,-9,-962,03/03/2022 11:22:24
5789,-708,-205,9753,-3,62,-1107,03/03/2022 11:22:24
5790,-449,-28,10389,24,-13,-1401,03/03/2022 11:22:24
5791,947,1488,9284,-172,-4,-1736,03/03/2022 11:22:24
