timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6017,4876,2440,10183,-257,-292,-212,03/03/2022 11:23:11
6018,5350,2780,9896,-152,-205,208,03/03/2022 11:23:11
6019,3895,1938,9422,-162,-156,850,03/03/2022 11:23:12
6020,2995,1684,9351,-80,-21,1113,03/03/2022 11:23:12
6021,2321,1239,9643,18,-3,1254,03/03/2022 11:23:12
6022,1890,1373,9322,-7,-85,1351,03/03/2022 11:23:12
6023,430,306,9489,66,-76,1385,03/03/2022 11:23:12
6024,320,368,9623,183,-55,1299,03/03/2022 11:23:12
6025,641,239,9729,116,30,1151,03/03/2022 11:23:12
6026,157,43,9738,128,-81,1184,03/03/2022 11:23:12
6027,579,-105,9499,115,-31,1061,03/03/2022 11:23:12
6028,253,-133,9394,173,25,1054,03/03/2022 11:23:12
6029,-282,-430,9925,245,201,991,03/03/2022 11:23:12
6030,-1182,-86,10403,258,73,959,03/03/2022 11:23:12
6031,-1880,-468,10863,234,0,907,03/03/2022 11:23:12
6032,-3340,-760,10691,45,-14,407,03/03/2022 11:23:12
6033,-3531,-368,10246,18,-81,60,03/03/2022 11:23:12
6034,-3115,-244,9930,-5,-85,-359,03/03/2022 11:23:12
6035,-2009,-172,9719,-36,-60,-745,03/03/2022 11:23:12
6036,-1095,368,9504,-106,-23,-1038,03/03/2022 11:23:12
6037,62,760,10064,111,183,-1175,03/03/2022 11:23:12
6038,-19,1100,10231,42,203,-1184,03/03/2022 11:23:12
6039,-267,1990,10064,-32,76,-1141,03/03/2022 11:23:13
6040,196,1205,10274,33,14,-1089,03/03/2022 11:23:13
6041,52,2139,10231,5,-3,-1130,03/03/2022 11:23:13
6042,454,2081,10600,-27,-127,-999,03/03/2022 11:23:13
6043,708,1301,9705,-69,-287,-951,03/03/2022 11:23:13
6044,1311,1100,9221,-50,-218,-1023,03/03/2022 11:23:13
6045,2000,1220,9255,52,-133,-1089,03/03/2022 11:23:13
6046,2100,1201,9944,172,45,-1328,03/03/2022 11:23:13
6047,3771,2105,10025,-273,-220,-640,03/03/2022 11:23:13
6048,3656,1914,10045,39,-189,-311,03/03/2022 11:23:13
6049,3661,1799,9839,-10,-51,-37,03/03/2022 11:23:13
6050,3278,1756,9724,-102,4,256,03/03/2022 11:23:13
6051,2459,1043,9600,21,21,495,03/03/2022 11:23:13
6052,1818,1091,9638,-57,82,495,03/03/2022 11:23:13
6053,2804,1718,9724,-81,25,565,03/03/2022 11:23:13
6054,2172,1043,9317,-91,37,757,03/03/2022 11:23:13
6055,2301,1363,9753,30,190,779,03/03/2022 11:23:13
6056,1301,1363,9614,-73,-15,1131,03/03/2022 11:23:13
6057,-555,1162,9533,53,74,1213,03/03/2022 11:23:13
6058,-325,775,10145,101,56,1040,03/03/2022 11:23:13
6059,-454,1239,9633,50,-48,1123,03/03/2022 11:23:13
6060,-1052,607,9906,101,9,1100,03/03/2022 11:23:14
6061,-957,4,10293,96,-19,1004,03/03/2022 11:23:14
6062,-1115,71,10016,25,169,867,03/03/2022 11:23:14
6063,-2359,-564,10102,4,68,884,03/03/2022 11:23:14
6064,-3488,-1378,10011,104,-27,660,03/03/2022 11:23:14
6065,-4967,-1095,9805,91,-82,301,03/03/2022 11:23:14
6066,-4503,-794,9915,221,-8,-258,03/03/2022 11:23:14
6067,-3613,401,9815,-77,-32,-1129,03/03/2022 11:23:14
6068,-2100,1229,9968,-8,17,-1483,03/03/2022 11:23:14
6069,-1268,1435,10174,-72,33,-1641,03/03/2022 11:23:14
6070,-143,1986,10729,159,67,-1619,03/03/2022 11:23:14
6071,239,2096,11720,202,67,-1460,03/03/2022 11:23:14
6072,497,2962,10652,-92,-210,-1275,03/03/2022 11:23:14
6073,-914,2196,9379,-189,-342,-1116,03/03/2022 11:23:14
6074,928,2909,9437,169,-123,-1433,03/03/2022 11:23:14
6075,1885,2751,9226,-288,-410,-1179,03/03/2022 11:23:14
6076,2837,2215,9446,-37,-388,-1077,03/03/2022 11:23:14
6077,4608,2531,9868,-128,-193,-745,03/03/2022 11:23:14
6078,5948,3182,10332,-75,-65,-486,03/03/2022 11:23:14
6079,5608,3096,10030,-241,-116,219,03/03/2022 11:23:15
6080,4359,1957,9073,-242,-159,717,03/03/2022 11:23:15
6081,2890,1153,9341,-53,83,970,03/03/2022 11:23:15
6082,3043,1292,9868,99,-248,1198,03/03/2022 11:23:15
6083,2450,1052,9408,1,-136,1372,03/03/2022 11:23:15
6084,1770,157,9399,102,-270,1447,03/03/2022 11:23:15
6085,1971,401,9035,164,-236,1467,03/03/2022 11:23:15
6086,263,-177,9413,319,16,1497,03/03/2022 11:23:15
6087,291,430,9824,113,79,1199,03/03/2022 11:23:15
6088,9,-267,9269,-50,-76,1202,03/03/2022 11:23:15
6089,-464,-727,9978,325,106,1108,03/03/2022 11:23:15
6090,-1124,-569,10011,157,56,978,03/03/2022 11:23:15
6091,-981,-966,10212,185,-68,879,03/03/2022 11:23:15
6092,-1651,-631,10528,311,78,763,03/03/2022 11:23:15
