timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
6592,-3321,-1019,10088,159,42,924,03/03/2022 11:24:16
6593,-3546,-794,9690,-108,-136,624,03/03/2022 11:24:16
6594,-3857,-1450,9652,-71,-161,477,03/03/2022 11:24:16
6595,-5130,-995,9710,116,38,188,03/03/2022 11:24:16
6596,-5556,-861,9786,116,-35,-205,03/03/2022 11:24:16
6597,-3527,-985,9131,-52,-133,-627,03/03/2022 11:24:16
6598,-3952,-406,9265,61,-63,-836,03/03/2022 11:24:16
6599,-2593,-631,9365,118,1,-1127,03/03/2022 11:24:16
6600,-1335,-263,9590,102,53,-1231,03/03/2022 11:24:16
6601,-1631,464,9753,275,184,-1299,03/03/2022 11:24:16
6602,-832,684,10231,126,88,-1420,03/03/2022 11:24:17
6603,-47,703,9954,135,-7,-1349,03/03/2022 11:24:17
6604,636,722,10490,223,11,-1293,03/03/2022 11:24:17
6605,1383,1134,10662,141,25,-1151,03/03/2022 11:24:17
6606,942,808,10686,122,-97,-1029,03/03/2022 11:24:17
6607,1378,937,10279,-43,-110,-837,03/03/2022 11:24:17
6608,2024,602,10298,70,-207,-689,03/03/2022 11:24:17
6609,3182,244,9628,-39,-150,-579,03/03/2022 11:24:17
6610,5163,258,10284,-25,-17,-240,03/03/2022 11:24:17
6611,4905,650,10222,-116,-89,103,03/03/2022 11:24:17
6612,3579,-76,9944,-45,-28,410,03/03/2022 11:24:17
6613,3431,382,9858,-56,65,600,03/03/2022 11:24:17
6614,1770,-47,10351,40,75,860,03/03/2022 11:24:17
6615,1143,421,10102,-11,87,842,03/03/2022 11:24:17
6616,1684,-43,9480,-133,80,893,03/03/2022 11:24:17
6617,306,138,9887,-23,73,1063,03/03/2022 11:24:17
6618,-636,-52,9518,-114,171,1094,03/03/2022 11:24:17
6619,-1483,110,9509,17,219,1021,03/03/2022 11:24:17
6620,-1981,-344,9279,-65,172,1005,03/03/2022 11:24:17
6621,-2569,-602,9413,-45,219,881,03/03/2022 11:24:17
6622,-3081,-679,9690,-63,82,852,03/03/2022 11:24:18
6623,-3909,-880,8987,-63,14,784,03/03/2022 11:24:18
6624,-5072,-1081,9269,123,65,519,03/03/2022 11:24:18
6625,-6240,-909,9403,126,46,159,03/03/2022 11:24:18
6626,-5374,-550,9073,123,-123,-360,03/03/2022 11:24:18
6627,-3498,-416,9255,-21,-145,-622,03/03/2022 11:24:18
6628,-3957,0,9542,124,-146,-750,03/03/2022 11:24:18
6629,-2206,239,9513,161,40,-1113,03/03/2022 11:24:18
6630,-2617,808,10040,173,3,-1184,03/03/2022 11:24:18
6631,-1335,1043,10317,176,-37,-1319,03/03/2022 11:24:18
6632,-1641,1081,10202,-25,-145,-1274,03/03/2022 11:24:18
6633,-1172,937,9958,180,-77,-1438,03/03/2022 11:24:18
6634,-478,1459,9657,27,59,-1513,03/03/2022 11:24:18
6635,483,1550,10097,221,-188,-1324,03/03/2022 11:24:18
6636,2129,1976,9714,-64,-159,-1232,03/03/2022 11:24:18
6637,3187,914,10188,76,6,-1044,03/03/2022 11:24:18
6638,4871,1646,11418,-57,97,-468,03/03/2022 11:24:18
6639,4675,1249,11633,-116,65,-174,03/03/2022 11:24:18
6640,3852,813,10829,-194,-87,288,03/03/2022 11:24:18
6641,2675,459,10537,-186,-42,539,03/03/2022 11:24:18
6642,1847,535,10059,-206,10,764,03/03/2022 11:24:19
6643,942,81,10059,-248,-118,960,03/03/2022 11:24:19
6644,698,521,9638,-323,-135,1114,03/03/2022 11:24:19
6645,-741,-468,9949,-133,-59,1324,03/03/2022 11:24:19
6646,-976,-631,9638,-293,104,1283,03/03/2022 11:24:19
6647,-406,-1292,8350,-216,-140,1192,03/03/2022 11:24:19
6648,-373,-1622,8843,-4,-29,1175,03/03/2022 11:24:19
6649,-2574,-1239,8853,90,15,1085,03/03/2022 11:24:19
6650,-3632,-875,9408,215,107,955,03/03/2022 11:24:19
6651,-4316,-703,9198,113,48,814,03/03/2022 11:24:19
6652,-5091,-698,9389,124,-24,609,03/03/2022 11:24:19
6653,-5895,-617,9442,173,-124,332,03/03/2022 11:24:19
6654,-6498,-602,9518,99,-158,97,03/03/2022 11:24:19
6655,-5565,-669,9442,118,-116,-310,03/03/2022 11:24:19
6656,-3254,-641,9418,34,-110,-640,03/03/2022 11:24:19
6657,-3196,-507,9791,56,-63,-728,03/03/2022 11:24:19
6658,-2584,-626,9786,24,-52,-915,03/03/2022 11:24:19
6659,-1354,4,8575,-140,4,-976,03/03/2022 11:24:19
6660,-2876,23,8958,50,-8,-927,03/03/2022 11:24:19
6661,-2579,746,9193,296,-11,-1210,03/03/2022 11:24:20
6662,-1952,641,9786,103,31,-1393,03/03/2022 11:24:20
6663,296,1708,10241,226,-66,-1487,03/03/2022 11:24:20
6664,641,1153,10691,175,-86,-1400,03/03/2022 11:24:20
6665,1411,1430,10825,235,-171,-1343,03/03/2022 11:24:20
6666,1938,1306,9777,43,-578,-1097,03/03/2022 11:24:20
6667,3230,842,8939,11,-454,-792,03/03/2022 11:24:20
6668,4106,851,9528,189,-101,-636,03/03/2022 11:24:20
6669,4398,459,10370,176,103,-255,03/03/2022 11:24:20
6670,5077,1253,10772,138,301,-175,03/03/2022 11:24:20
6671,4072,847,11088,-41,64,259,03/03/2022 11:24:20
6672,3316,832,10624,50,171,427,03/03/2022 11:24:20
6673,2952,866,10427,-141,192,600,03/03/2022 11:24:20
6674,2388,1205,10040,-101,219,803,03/03/2022 11:24:20
6675,1622,1143,10107,-248,197,902,03/03/2022 11:24:20
6676,-689,727,9389,-146,166,1036,03/03/2022 11:24:20
6677,-291,215,9298,-44,222,919,03/03/2022 11:24:20
6678,-770,947,9542,-110,277,957,03/03/2022 11:24:20
6679,-354,904,9365,-86,96,969,03/03/2022 11:24:20
6680,-1272,186,9322,-155,163,947,03/03/2022 11:24:20
6681,-1277,1162,9006,-134,179,961,03/03/2022 11:24:20
6682,-1890,602,8776,-52,20,1153,03/03/2022 11:24:21
6683,-2273,636,9178,90,204,925,03/03/2022 11:24:21
6684,-3354,334,9676,-2,146,920,03/03/2022 11:24:21
6685,-4354,282,9772,198,13,779,03/03/2022 11:24:21
6686,-4981,344,9710,24,15,560,03/03/2022 11:24:21
6687,-6546,492,10150,138,-32,233,03/03/2022 11:24:21
6688,-6594,617,9963,74,-176,-203,03/03/2022 11:24:21
6689,-4063,760,9083,-139,-305,-664,03/03/2022 11:24:21
6690,-3182,674,9375,13,-222,-838,03/03/2022 11:24:21
6691,-2823,803,9365,0,-126,-963,03/03/2022 11:24:21
6692,-2076,1373,9566,24,-156,-1100,03/03/2022 11:24:21
6693,-1847,1057,9494,42,-251,-1121,03/03/2022 11:24:21
6694,-2062,1296,8997,83,-390,-1111,03/03/2022 11:24:21
6695,-358,1526,8743,197,-167,-1308,03/03/2022 11:24:21
6696,952,1785,9781,94,-4,-1409,03/03/2022 11:24:21
6697,1344,1761,10356,38,-134,-1144,03/03/2022 11:24:21
6698,1531,1646,10399,39,-139,-1072,03/03/2022 11:24:21
6699,2120,1493,10504,98,-150,-842,03/03/2022 11:24:21
6700,2081,1531,10284,100,-150,-714,03/03/2022 11:24:21
6701,3335,1765,10308,-19,-144,-601,03/03/2022 11:24:21
6702,5359,1100,10791,-150,-62,-292,03/03/2022 11:24:22
6703,4670,1473,10255,-203,-195,124,03/03/2022 11:24:22
6704,4153,660,9657,-81,-101,523,03/03/2022 11:24:22
6705,3632,626,9604,-53,25,686,03/03/2022 11:24:22
6706,1957,1019,9509,131,-70,983,03/03/2022 11:24:22
6707,1153,626,9461,192,-25,992,03/03/2022 11:24:22
6708,1737,1646,9796,-3,150,878,03/03/2022 11:24:22
6709,19,1205,10107,95,89,1161,03/03/2022 11:24:22
6710,-258,1105,9513,-79,168,1112,03/03/2022 11:24:22
6711,-512,1043,9188,-56,188,1166,03/03/2022 11:24:22
6712,-1387,717,9753,173,359,1064,03/03/2022 11:24:22
6713,-1603,1067,9116,-160,279,960,03/03/2022 11:24:22
6714,-2699,-406,9537,-38,69,995,03/03/2022 11:24:22
6715,-2823,272,9604,164,239,659,03/03/2022 11:24:22
6716,-2029,550,9882,-69,169,580,03/03/2022 11:24:22
6717,-4517,727,10011,80,91,661,03/03/2022 11:24:22
6718,-6178,-47,9734,13,-107,161,03/03/2022 11:24:22
6719,-4206,-124,9413,44,-55,-404,03/03/2022 11:24:22
6720,-3239,579,9327,-16,-167,-624,03/03/2022 11:24:22
6721,-3431,751,9509,-95,-254,-681,03/03/2022 11:24:22
6722,-2033,421,9308,31,-63,-1051,03/03/2022 11:24:23
6723,-1445,397,10035,113,164,-1211,03/03/2022 11:24:23
6724,-2254,1938,10801,273,120,-1182,03/03/2022 11:24:23
6725,-2531,1344,9906,-142,-354,-1258,03/03/2022 11:24:23
6726,-799,1612,8733,-26,-200,-1509,03/03/2022 11:24:23
6727,669,1794,8958,-10,-53,-1538,03/03/2022 11:24:23
6728,1215,2297,9241,80,154,-1341,03/03/2022 11:24:23
6729,1923,1493,10815,225,285,-1031,03/03/2022 11:24:23
6730,1895,1674,11064,320,219,-932,03/03/2022 11:24:23
6731,3235,2076,11222,66,-5,-683,03/03/2022 11:24:23
6732,3976,1660,11691,37,-88,-261,03/03/2022 11:24:23
6733,3522,1655,10930,-166,-102,204,03/03/2022 11:24:23
6734,2924,1162,10509,-208,-187,410,03/03/2022 11:24:23
6735,2096,1067,9801,-87,-145,812,03/03/2022 11:24:23
6736,1421,1110,9877,-15,-49,879,03/03/2022 11:24:23
6737,957,1976,10336,-223,142,1049,03/03/2022 11:24:23
6738,-823,1421,10614,-209,172,1270,03/03/2022 11:24:23
6739,-1397,468,10313,-215,211,1116,03/03/2022 11:24:23
6740,-382,492,9446,-433,109,1072,03/03/2022 11:24:23
6741,-1430,574,9461,-293,215,1186,03/03/2022 11:24:23
6742,-2411,-392,9049,-419,31,1148,03/03/2022 11:24:24
6743,-2928,-488,8504,-324,-27,1105,03/03/2022 11:24:24
6744,-4206,-751,8863,-14,-32,969,03/03/2022 11:24:24
6745,-4981,-483,8652,-61,43,650,03/03/2022 11:24:24
6746,-5709,-1158,9552,35,51,435,03/03/2022 11:24:24
6747,-5407,-1148,9494,-66,-234,248,03/03/2022 11:24:24
6748,-5632,-1574,9724,5,-193,-31,03/03/2022 11:24:24
6749,-3890,-1229,9293,-32,-111,-666,03/03/2022 11:24:24
6750,-3613,-636,9288,23,-86,-911,03/03/2022 11:24:24
6751,-3742,-296,9073,-22,-105,-1110,03/03/2022 11:24:24
6752,-3326,9,8413,-56,-213,-1260,03/03/2022 11:24:24
6753,-971,-315,8446,294,-1,-1637,03/03/2022 11:24:24
