timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
8274,-1684,9,9571,-110,-236,-826,03/03/2022 11:27:08
8275,-1234,157,9384,-26,-239,-902,03/03/2022 11:27:08
8276,287,-90,9116,-130,-218,-1053,03/03/2022 11:27:08
8277,-62,-272,8604,-68,33,-1043,03/03/2022 11:27:08
8278,90,354,8829,97,47,-1066,03/03/2022 11:27:08
8279,1258,19,9188,206,225,-1137,03/03/2022 11:27:08
8280,1636,693,10255,268,228,-994,03/03/2022 11:27:08
8281,2230,942,11026,205,120,-897,03/03/2022 11:27:08
8282,2282,823,11308,87,131,-707,03/03/2022 11:27:08
8283,3785,717,11782,155,87,-518,03/03/2022 11:27:08
8284,3704,650,11696,-71,-150,-180,03/03/2022 11:27:09
8285,3239,445,10839,-264,-119,217,03/03/2022 11:27:09
8286,2182,-378,9987,-268,-257,420,03/03/2022 11:27:09
8287,3014,-81,9662,-77,-307,573,03/03/2022 11:27:09
8288,2426,-186,9174,-156,-43,728,03/03/2022 11:27:09
8289,1277,-717,9824,15,-37,793,03/03/2022 11:27:09
8290,579,-234,9485,-137,0,799,03/03/2022 11:27:09
8291,602,-411,9083,-19,-76,853,03/03/2022 11:27:09
8292,-244,-770,9762,90,137,777,03/03/2022 11:27:09
8293,244,-191,9379,-127,-12,716,03/03/2022 11:27:09
8294,-473,-1277,9308,32,83,696,03/03/2022 11:27:09
8295,334,-440,9245,0,80,603,03/03/2022 11:27:09
8296,-425,-1229,10135,124,81,660,03/03/2022 11:27:09
8297,-775,-722,9667,-27,-10,635,03/03/2022 11:27:09
8298,-981,-1234,9748,21,98,591,03/03/2022 11:27:09
8299,-736,-717,9600,19,106,540,03/03/2022 11:27:09
8300,-1416,-1210,9537,13,20,559,03/03/2022 11:27:09
8301,-1852,-937,9466,39,89,513,03/03/2022 11:27:09
8302,-2890,-1234,9796,88,108,429,03/03/2022 11:27:09
8303,-3249,-1057,9796,120,-12,318,03/03/2022 11:27:09
8304,-4259,-1220,10202,83,22,135,03/03/2022 11:27:10
8305,-3933,-488,9853,83,-155,-143,03/03/2022 11:27:10
8306,-3292,-636,9786,-57,-94,-330,03/03/2022 11:27:10
8307,-2727,-583,9600,0,-204,-457,03/03/2022 11:27:10
8308,-2909,-301,9288,-11,-132,-592,03/03/2022 11:27:10
8309,-2273,-301,9427,72,-65,-784,03/03/2022 11:27:10
8310,-775,19,9461,42,41,-923,03/03/2022 11:27:10
8311,-162,-71,9858,79,-9,-960,03/03/2022 11:27:10
8312,-301,607,10169,42,104,-967,03/03/2022 11:27:10
8313,363,607,9207,-55,-360,-950,03/03/2022 11:27:10
8314,1062,-167,9437,196,137,-798,03/03/2022 11:27:10
8315,-1100,200,9824,275,145,-868,03/03/2022 11:27:10
8316,-244,961,10174,127,-24,-1085,03/03/2022 11:27:10
8317,416,2383,9858,4,-28,-1140,03/03/2022 11:27:10
8318,1172,1158,9772,253,89,-1179,03/03/2022 11:27:10
8319,2440,1775,9863,213,287,-1185,03/03/2022 11:27:10
8320,2502,1727,11150,250,202,-790,03/03/2022 11:27:10
8321,3345,1770,11519,281,31,-605,03/03/2022 11:27:10
8322,6245,2622,12930,-136,80,22,03/03/2022 11:27:10
8323,2699,1148,11327,-336,-262,711,03/03/2022 11:27:10
8324,2014,1205,9868,-367,-325,792,03/03/2022 11:27:11
8325,2115,708,9217,-244,-418,912,03/03/2022 11:27:11
8326,3862,1339,9906,361,-119,853,03/03/2022 11:27:11
8327,1177,2612,10207,-267,262,1083,03/03/2022 11:27:11
8328,153,1794,9714,-314,-203,1358,03/03/2022 11:27:11
8329,-1038,1938,9236,-224,6,1307,03/03/2022 11:27:11
8330,-1316,780,10054,61,-229,1339,03/03/2022 11:27:11
8331,-803,856,9317,-89,-20,1169,03/03/2022 11:27:11
8332,-1186,-277,9068,-189,-26,1062,03/03/2022 11:27:11
8333,-1306,-167,8590,-58,11,1004,03/03/2022 11:27:11
8334,-1761,-602,9040,30,99,984,03/03/2022 11:27:11
8335,-2502,-129,8934,142,99,952,03/03/2022 11:27:11
8336,-3187,-923,9633,198,100,777,03/03/2022 11:27:11
8337,-2617,-210,9796,214,42,636,03/03/2022 11:27:11
8338,-3818,-918,10360,111,-46,454,03/03/2022 11:27:11
8339,-4426,-224,10724,103,-132,229,03/03/2022 11:27:11
8340,-4206,-497,10877,59,-232,-110,03/03/2022 11:27:11
8341,-2909,-459,10121,-178,-223,-390,03/03/2022 11:27:11
8342,-2335,-186,9963,-23,-207,-555,03/03/2022 11:27:11
8343,-1234,124,9485,-204,-174,-735,03/03/2022 11:27:11
8344,-559,28,9236,-93,-175,-795,03/03/2022 11:27:11
8345,-818,832,8690,16,-145,-888,03/03/2022 11:27:12
8346,459,564,9351,120,-69,-977,03/03/2022 11:27:12
8347,1579,626,9547,-110,-96,-1006,03/03/2022 11:27:12
8348,971,612,9537,0,123,-996,03/03/2022 11:27:12
8349,1306,1215,9753,-23,102,-1028,03/03/2022 11:27:12
8350,703,564,9944,-19,209,-1025,03/03/2022 11:27:12
8351,1215,1263,9772,6,45,-1068,03/03/2022 11:27:12
8352,1272,1320,9566,58,-43,-1029,03/03/2022 11:27:12
8353,2177,966,9403,17,78,-989,03/03/2022 11:27:12
8354,1517,1043,9614,250,159,-934,03/03/2022 11:27:12
8355,1899,1311,10025,266,284,-831,03/03/2022 11:27:12
8356,674,1789,10619,271,338,-616,03/03/2022 11:27:12
8357,976,2110,9925,65,230,-408,03/03/2022 11:27:12
8358,4,971,9609,239,72,-295,03/03/2022 11:27:12
8359,2794,1660,10877,194,266,-369,03/03/2022 11:27:12
8360,3656,1220,12394,68,-52,-9,03/03/2022 11:27:12
8361,3483,1856,12102,-80,-130,312,03/03/2022 11:27:12
8362,1765,1942,11380,-295,-210,648,03/03/2022 11:27:12
8363,1631,2163,10231,-251,-125,722,03/03/2022 11:27:12
8364,2541,1679,9805,-263,-194,857,03/03/2022 11:27:12
8365,1138,2191,9743,-252,-2,999,03/03/2022 11:27:13
8366,1311,2445,9824,-256,-18,989,03/03/2022 11:27:13
8367,1359,3718,8901,-584,-26,1186,03/03/2022 11:27:13
8368,-2239,416,9399,21,38,1278,03/03/2022 11:27:13
8369,368,1397,10112,-133,150,950,03/03/2022 11:27:13
8370,-1718,411,9308,-288,-232,1288,03/03/2022 11:27:13
8371,-1957,416,10561,131,86,891,03/03/2022 11:27:13
8372,-684,38,8417,-605,-431,968,03/03/2022 11:27:13
8373,-1450,-1607,8642,203,56,902,03/03/2022 11:27:13
8374,-2029,-157,8939,118,-31,865,03/03/2022 11:27:13
8375,-2373,-1225,8910,-74,-39,576,03/03/2022 11:27:13
8376,-2344,-1349,9193,89,-457,725,03/03/2022 11:27:13
8377,-2081,-1435,9772,354,64,486,03/03/2022 11:27:13
8378,-3072,-1100,11471,250,-6,431,03/03/2022 11:27:13
