timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7604,-3493,-311,9705,-12,-118,712,03/03/2022 11:25:57
7605,-3909,-425,9719,19,-28,441,03/03/2022 11:25:57
7606,-4627,19,9987,172,181,62,03/03/2022 11:25:57
7607,-4527,205,10049,-17,-49,-298,03/03/2022 11:25:57
7608,-3546,38,9489,-53,-87,-545,03/03/2022 11:25:57
7609,-2689,-81,9643,74,75,-880,03/03/2022 11:25:57
7610,-2330,124,9676,77,140,-1015,03/03/2022 11:25:57
7611,-2254,378,9848,126,220,-1279,03/03/2022 11:25:57
7612,-1383,646,10303,163,168,-1291,03/03/2022 11:25:57
7613,-1263,344,10289,35,-15,-1308,03/03/2022 11:25:57
7614,-95,765,9269,112,187,-1337,03/03/2022 11:25:57
7615,-229,665,9824,207,143,-1277,03/03/2022 11:25:57
7616,19,803,10135,175,49,-1164,03/03/2022 11:25:58
7617,181,574,9710,125,55,-1122,03/03/2022 11:25:58
7618,-28,693,9829,256,110,-1074,03/03/2022 11:25:58
7619,263,741,10174,242,-81,-955,03/03/2022 11:25:58
7620,693,1124,9437,186,65,-884,03/03/2022 11:25:58
7621,535,401,9848,329,-12,-727,03/03/2022 11:25:58
7622,1397,1196,10667,219,50,-609,03/03/2022 11:25:58
7623,3474,1268,11423,67,41,-168,03/03/2022 11:25:58
7624,3086,698,11107,-157,-123,268,03/03/2022 11:25:58
7625,2167,880,10494,-176,-67,519,03/03/2022 11:25:58
7626,1564,669,10121,-192,-22,679,03/03/2022 11:25:58
7627,722,770,10131,-120,33,790,03/03/2022 11:25:58
7628,564,803,9757,-187,24,831,03/03/2022 11:25:58
7629,-162,660,9719,-190,100,909,03/03/2022 11:25:58
7630,-1014,1110,11308,46,474,908,03/03/2022 11:25:58
7631,-1124,1430,10250,-477,73,950,03/03/2022 11:25:58
7632,-923,478,9341,-446,-57,1039,03/03/2022 11:25:58
7633,-784,607,9111,-230,-189,1040,03/03/2022 11:25:58
7634,-1033,392,9384,-135,17,1084,03/03/2022 11:25:58
7635,-2009,497,9207,-117,-76,1064,03/03/2022 11:25:58
7636,-3201,76,8331,156,-62,998,03/03/2022 11:25:59
7637,-2876,607,9523,172,330,710,03/03/2022 11:25:59
7638,-2947,157,9839,-105,-59,816,03/03/2022 11:25:59
7639,-3627,-344,9154,-55,-51,670,03/03/2022 11:25:59
7640,-3900,-43,9738,9,80,429,03/03/2022 11:25:59
7641,-4924,516,9781,105,-25,354,03/03/2022 11:25:59
7642,-5962,177,9619,8,-155,-60,03/03/2022 11:25:59
7643,-4086,449,9159,-36,-130,-613,03/03/2022 11:25:59
7644,-3397,445,9250,8,-171,-715,03/03/2022 11:25:59
7645,-2416,244,9379,51,-104,-870,03/03/2022 11:25:59
7646,-2076,492,9408,27,13,-972,03/03/2022 11:25:59
7647,-1588,799,9872,193,45,-1024,03/03/2022 11:25:59
7648,-1268,818,9968,125,-15,-992,03/03/2022 11:25:59
7649,-1229,794,10073,166,-45,-1032,03/03/2022 11:25:59
7650,-1004,918,9580,34,-77,-1024,03/03/2022 11:25:59
7651,-540,856,9748,181,-97,-1028,03/03/2022 11:25:59
7652,-492,1124,9872,107,-84,-972,03/03/2022 11:25:59
7653,-473,1105,9446,144,-172,-924,03/03/2022 11:25:59
7654,-1081,1545,9260,83,-213,-825,03/03/2022 11:25:59
7655,-717,1062,9523,203,-269,-847,03/03/2022 11:25:59
7656,1268,612,9734,96,-50,-893,03/03/2022 11:25:59
7657,3230,1234,10939,308,52,-828,03/03/2022 11:26:00
7658,3273,942,11633,60,-97,-395,03/03/2022 11:26:00
7659,4053,1277,11002,-74,8,-55,03/03/2022 11:26:00
7660,3081,1153,10494,-137,-26,287,03/03/2022 11:26:00
7661,1818,693,9801,-115,-39,541,03/03/2022 11:26:00
7662,1301,1052,9791,-103,62,586,03/03/2022 11:26:00
7663,1708,1502,9781,-216,141,802,03/03/2022 11:26:00
7664,-38,703,9097,-264,203,939,03/03/2022 11:26:00
7665,258,464,10064,-121,181,975,03/03/2022 11:26:00
7666,-473,349,10097,15,77,1028,03/03/2022 11:26:00
7667,-698,760,10246,-183,93,923,03/03/2022 11:26:00
7668,-559,813,10365,-182,25,1054,03/03/2022 11:26:00
7669,-1670,535,9643,-205,55,1005,03/03/2022 11:26:00
7670,-1895,358,9451,-233,69,980,03/03/2022 11:26:00
7671,-2273,-124,9686,-67,96,885,03/03/2022 11:26:00
7672,-1775,81,9241,-237,-79,851,03/03/2022 11:26:00
7673,-1823,-315,9092,-26,-31,791,03/03/2022 11:26:00
7674,-1421,-354,9068,-68,-9,738,03/03/2022 11:26:00
7675,-2617,90,9834,171,38,767,03/03/2022 11:26:00
7676,-3450,306,10241,0,-54,675,03/03/2022 11:26:01
