timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date,label
5356,516,1416,9341,-253,256,-1539,3/3/2022 11:21,
5357,861,2507,9542,42,166,-1446,3/3/2022 11:21,
5358,1033,3512,10255,104,80,-1244,3/3/2022 11:21,
5359,1741,3115,9829,224,-258,-845,3/3/2022 11:21,
5360,2273,3579,9513,131,-59,-635,3/3/2022 11:21,
5361,3168,4115,9939,9,-101,-395,3/3/2022 11:21,
5362,3550,3991,9480,-138,-83,-142,3/3/2022 11:21,
5363,3651,4005,9312,-138,-35,63,3/3/2022 11:21,
5364,2919,3134,9480,-102,44,363,3/3/2022 11:21,
5365,2550,3086,9781,-105,49,547,3/3/2022 11:21,
5366,1875,2306,9628,-116,-35,809,3/3/2022 11:21,
5367,1899,2402,8853,-62,-17,840,3/3/2022 11:21,
5368,1852,1287,9083,-81,-22,939,3/3/2022 11:21,
5369,1091,1335,10212,168,-47,944,3/3/2022 11:21,
5370,914,918,10011,4,-182,936,3/3/2022 11:21,
5371,1263,406,9734,132,-49,829,3/3/2022 11:21,
5372,1258,1167,9839,-44,-43,825,3/3/2022 11:21,
5373,1081,-344,9494,190,-94,1016,3/3/2022 11:21,
5374,870,-689,9609,108,-9,891,3/3/2022 11:21,
5375,875,-832,9671,44,67,779,3/3/2022 11:21,
5376,1038,-741,9690,78,49,701,3/3/2022 11:21,
5377,1430,-454,8939,-51,72,717,3/3/2022 11:21,
5378,1148,-1411,9456,56,64,793,3/3/2022 11:21,
5379,-387,-2431,10269,286,77,790,3/3/2022 11:21,
5380,-1354,-2703,10829,240,42,442,3/3/2022 11:21,
5381,-1617,-2124,10743,76,-8,-236,3/3/2022 11:21,
5382,-818,-1847,9700,-35,-83,-444,3/3/2022 11:21,
5383,-354,-1536,9729,4,10,-635,3/3/2022 11:21,
5384,-684,-847,9537,-36,65,-732,3/3/2022 11:21,
5385,-875,-799,9556,72,36,-1032,3/3/2022 11:21,
5386,-344,507,8896,-65,148,-1228,3/3/2022 11:21,
5387,-272,1545,9652,5,293,-1271,3/3/2022 11:21,
5388,1086,2187,10772,117,45,-1223,3/3/2022 11:21,
5389,827,2359,9643,-144,66,-998,3/3/2022 11:21,
5390,784,1818,10777,225,-91,-921,3/3/2022 11:21,
5391,593,2000,9638,-62,-55,-926,3/3/2022 11:21,
5392,1383,2531,10116,54,-69,-920,3/3/2022 11:21,
5393,1808,2861,9968,-3,-145,-807,3/3/2022 11:21,
5394,2498,3364,9743,-25,-150,-626,3/3/2022 11:21,
5395,3460,3986,9734,-86,-134,-393,3/3/2022 11:21,
5396,3895,3828,9332,-138,-119,-17,3/3/2022 11:21,
5397,2876,3000,9312,-50,49,307,3/3/2022 11:21,
5398,1698,2344,10365,-19,45,490,3/3/2022 11:21,
5399,1770,2206,9413,-110,-206,631,3/3/2022 11:21,
5400,1842,1488,8810,-12,-129,689,3/3/2022 11:21,
5401,1962,1555,9494,119,83,774,3/3/2022 11:21,
5402,1129,1277,9623,100,57,889,3/3/2022 11:21,
5403,1225,-76,10126,176,66,913,3/3/2022 11:21,
5404,507,1119,10810,80,106,807,3/3/2022 11:21,
5405,440,320,10193,23,-90,940,3/3/2022 11:21,
5406,358,38,9844,124,-87,934,3/3/2022 11:21,
5407,244,-818,10016,35,-60,883,3/3/2022 11:21,
5408,-296,-1363,10131,80,13,773,3/3/2022 11:21,
5409,-957,-2014,10375,50,-7,625,3/3/2022 11:21,
5410,-1416,-2660,10614,83,-129,373,3/3/2022 11:21,
