timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7264,1483,837,11236,-78,-160,462,03/03/2022 11:25:23
7265,1196,550,10451,-345,-125,592,03/03/2022 11:25:23
7266,1229,674,10035,-154,-58,754,03/03/2022 11:25:23
7267,1062,-62,9944,-103,-66,956,03/03/2022 11:25:23
7268,-636,598,10743,18,253,1008,03/03/2022 11:25:23
7269,-205,1622,10633,-266,-33,1139,03/03/2022 11:25:23
7270,-842,1024,10198,-378,-71,1281,03/03/2022 11:25:24
7271,-1464,794,9628,-299,-134,1286,03/03/2022 11:25:24
7272,-1182,660,9681,-218,-3,1214,03/03/2022 11:25:24
7273,-650,363,9198,-309,-138,1316,03/03/2022 11:25:24
7274,-1885,593,9178,-138,-59,1346,03/03/2022 11:25:24
7275,-2048,401,9202,-199,-114,1341,03/03/2022 11:25:24
7276,-2421,464,9274,-24,-63,1262,03/03/2022 11:25:24
7277,-3694,57,9346,-40,-125,1162,03/03/2022 11:25:24
7278,-3670,38,9585,16,-146,1042,03/03/2022 11:25:24
7279,-4340,138,9690,-17,-150,876,03/03/2022 11:25:24
7280,-4776,263,9786,38,20,385,03/03/2022 11:25:24
7281,-4977,473,9777,9,8,13,03/03/2022 11:25:24
7282,-4445,71,9475,-64,-121,-297,03/03/2022 11:25:24
7283,-3249,-162,9217,-60,29,-648,03/03/2022 11:25:24
7284,-3598,43,9595,67,132,-869,03/03/2022 11:25:24
7285,-2943,9,10140,213,155,-1011,03/03/2022 11:25:24
7286,-2890,669,9695,-5,18,-1179,03/03/2022 11:25:24
7287,-1584,-33,9059,129,98,-1269,03/03/2022 11:25:24
7288,-1330,-57,8877,217,289,-1362,03/03/2022 11:25:24
7289,-1119,157,9743,320,346,-1357,03/03/2022 11:25:24
7290,-717,1019,9815,159,192,-1175,03/03/2022 11:25:25
7291,-1115,90,10308,266,-21,-1058,03/03/2022 11:25:25
7292,-1201,760,9719,211,-9,-982,03/03/2022 11:25:25
7293,-952,655,10021,341,-55,-1009,03/03/2022 11:25:25
7294,-861,789,9815,124,-220,-888,03/03/2022 11:25:25
7295,-832,397,9528,212,-26,-985,03/03/2022 11:25:25
7296,-62,253,9915,90,-158,-885,03/03/2022 11:25:25
7297,1627,588,11576,212,62,-665,03/03/2022 11:25:25
7298,2459,378,11447,-21,-12,-452,03/03/2022 11:25:25
7299,3005,248,11117,-141,12,-212,03/03/2022 11:25:25
7300,2861,401,11102,-141,-32,190,03/03/2022 11:25:25
7301,2364,38,10097,-238,-61,525,03/03/2022 11:25:25
