timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6254,1574,832,9518,-138,-320,1360,03/03/2022 11:23:47
6255,981,583,9375,27,-310,1485,03/03/2022 11:23:47
6256,602,291,9494,128,-273,1569,03/03/2022 11:23:47
6257,-397,-66,9901,184,-196,1548,03/03/2022 11:23:47
6258,-1234,-296,9944,137,-125,1416,03/03/2022 11:23:47
6259,-2364,-1071,10231,157,-167,1158,03/03/2022 11:23:47
6260,-2986,-1703,10375,108,-30,728,03/03/2022 11:23:47
6261,-2699,-1732,10202,-76,74,182,03/03/2022 11:23:47
6262,-2914,-1885,10030,-107,9,-73,03/03/2022 11:23:47
6263,-2493,-1875,9422,-144,40,-505,03/03/2022 11:23:47
6264,-1402,-1684,9159,-126,75,-745,03/03/2022 11:23:47
6265,-2297,-1277,9049,37,224,-969,03/03/2022 11:23:47
6266,-1617,-588,9121,121,271,-1216,03/03/2022 11:23:47
6267,-2163,-23,8858,11,425,-1429,03/03/2022 11:23:47
6268,-2124,272,9384,332,509,-1674,03/03/2022 11:23:47
6269,-1124,1153,9958,263,582,-1991,03/03/2022 11:23:47
6270,-277,2579,10944,515,598,-1978,03/03/2022 11:23:47
6271,119,2991,11212,417,269,-1728,03/03/2022 11:23:47
6272,3029,3086,11710,199,-95,-1060,03/03/2022 11:23:47
6273,4225,2842,12160,159,-29,-762,03/03/2022 11:23:47
6274,4962,3144,12313,-64,-180,-143,03/03/2022 11:23:48
6275,4053,2560,11164,-307,-376,435,03/03/2022 11:23:48
6276,2895,1450,9753,-279,-359,955,03/03/2022 11:23:48
6277,1655,1330,9710,-138,-247,1160,03/03/2022 11:23:48
6278,1674,1205,9882,-70,-262,1275,03/03/2022 11:23:48
6279,698,928,9757,-135,-222,1426,03/03/2022 11:23:48
6280,-81,684,9796,-71,-240,1477,03/03/2022 11:23:48
6281,0,349,9303,-115,-272,1449,03/03/2022 11:23:48
6282,-1225,-382,9714,132,-148,1357,03/03/2022 11:23:48
6283,-1239,-1081,9820,99,-255,1235,03/03/2022 11:23:48
6284,-1100,-870,9494,-24,-141,1053,03/03/2022 11:23:48
6285,-1210,-1718,9757,57,-66,858,03/03/2022 11:23:48
6286,-914,-995,9772,34,19,718,03/03/2022 11:23:48
6287,-1526,-1354,10059,33,41,670,03/03/2022 11:23:48
6288,-2287,-1325,9853,4,86,444,03/03/2022 11:23:48
6289,-2785,-1287,10269,120,86,241,03/03/2022 11:23:48
6290,-3010,-1478,10049,-10,50,-146,03/03/2022 11:23:48
6291,-2062,-1478,9681,-36,55,-464,03/03/2022 11:23:48
6292,-1540,-985,9863,41,142,-612,03/03/2022 11:23:48
6293,-2196,-947,10064,7,61,-703,03/03/2022 11:23:48
6294,-1316,-961,9906,63,110,-962,03/03/2022 11:23:49
6295,-1966,-507,9690,35,90,-1122,03/03/2022 11:23:49
6296,-679,516,9552,168,12,-1277,03/03/2022 11:23:49
6297,445,-177,9676,51,113,-1286,03/03/2022 11:23:49
6298,765,-86,9915,123,161,-1166,03/03/2022 11:23:49
6299,-66,765,9882,132,79,-1031,03/03/2022 11:23:49
6300,100,435,9844,184,-74,-1007,03/03/2022 11:23:49
6301,502,1100,9571,153,-44,-1077,03/03/2022 11:23:49
6302,1378,1071,10001,185,-104,-1053,03/03/2022 11:23:49
6303,3019,1818,10360,177,-58,-996,03/03/2022 11:23:49
6304,3268,1392,10260,-74,-206,-685,03/03/2022 11:23:49
6305,3077,1062,10279,121,-47,-449,03/03/2022 11:23:49
6306,4120,1225,10719,75,44,-365,03/03/2022 11:23:49
6307,4532,1607,11030,-141,-70,213,03/03/2022 11:23:49
6308,3206,1488,10667,-45,-144,526,03/03/2022 11:23:49
6309,2660,1363,10107,-254,-141,650,03/03/2022 11:23:49
6310,2177,698,9944,-140,-76,772,03/03/2022 11:23:49
6311,1722,780,9748,-93,-122,855,03/03/2022 11:23:49
6312,1593,215,9499,-161,-141,930,03/03/2022 11:23:49
6313,1201,191,9518,-68,-61,931,03/03/2022 11:23:49
6314,1718,4,9556,-40,-105,998,03/03/2022 11:23:50
6315,1574,-143,9513,-15,-86,1052,03/03/2022 11:23:50
6316,2464,119,9322,0,8,1115,03/03/2022 11:23:50
6317,133,-215,10212,109,-183,1426,03/03/2022 11:23:50
6318,-526,-736,10112,23,-240,1430,03/03/2022 11:23:50
6319,-1296,-1344,10011,2,-153,1243,03/03/2022 11:23:50
6320,-2187,-1440,10226,80,-109,1060,03/03/2022 11:23:50
6321,-3598,-1856,10284,32,-46,646,03/03/2022 11:23:50
